TIMESTAMP;CGROUP;PERF_COUNT_HW_CACHE_MISSES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_SW_CPU_CLOCK
1683819834.675618;#SYSTEM;49546108;18835027256;19054348136;5994738888
1683819834.675618;/sys/fs/cgroup/anon.slice/anon_service.service;5485;207395;0;789288
1683819834.675618;/sys/fs/cgroup/test.slice/test;49475376;18826226711;0;5069742919
1683819835.675507;#SYSTEM;34103903;11183463062;11246829415;5997066735
1683819835.675507;/sys/fs/cgroup/anon.slice/anon_service.service;7046;185998;0;1455313
1683819835.675507;/sys/fs/cgroup/test.slice/test;33982274;11182188729;0;2996100852
1683819836.674818;#SYSTEM;7466248;4727547786;4453626250;5994747928
1683819836.674818;/sys/fs/cgroup/anon.slice/anon_service.service;5179;187117;0;1691303
1683819836.674818;/sys/fs/cgroup/test.slice/test;7390226;4723902081;0;1166747674
1683819837.673982;#SYSTEM;12506161;4342002005;4039447442;5992987016
1683819837.673982;/sys/fs/cgroup/anon.slice/anon_service.service;5872;180580;0;1568527
1683819837.673982;/sys/fs/cgroup/test.slice/test;12241894;4309662865;0;1078561109
1683819838.673805;#SYSTEM;32521911;3488927359;3829668433;5996958874
1683819838.673805;/sys/fs/cgroup/anon.slice/anon_service.service;6894;178873;0;1971921
1683819838.673805;/sys/fs/cgroup/test.slice/test;32456754;3483150052;0;998620444
1683819839.673285;#SYSTEM;42606074;4952879169;3867304000;5996082778
1683819839.673285;/sys/fs/cgroup/anon.slice/anon_service.service;7307;170502;0;1999377
1683819839.673285;/sys/fs/cgroup/test.slice/test;42534927;4946542870;0;999929308
1683819840.672710;#SYSTEM;34082030;4763369193;3856906175;5995986118
1683819840.672710;/sys/fs/cgroup/anon.slice/anon_service.service;6214;167183;0;1929037
1683819840.672710;/sys/fs/cgroup/test.slice/test;33970072;4773130098;0;1000060029
1683819841.671589;#SYSTEM;3034305;5145444688;3963858136;5942118959
1683819841.671589;/sys/fs/cgroup/anon.slice/anon_service.service;5532;220826;0;1282788
1683819841.671589;/sys/fs/cgroup/test.slice/test;2910821;5097492762;0;1307497485
1683819842.670297;#SYSTEM;5152043;16794473325;10972985258;5978269589
1683819842.670297;/sys/fs/cgroup/anon.slice/anon_service.service;3758;177169;0;560511
1683819842.670297;/sys/fs/cgroup/test.slice/test;5075493;16782594958;0;2982847486
1683819843.669423;#SYSTEM;9423813;42466940089;21849616815;5988960486
1683819843.669423;/sys/fs/cgroup/anon.slice/anon_service.service;3584;164446;0;546882
1683819843.669423;/sys/fs/cgroup/test.slice/test;9277975;42453635045;0;5806399489
1683819844.668569;#SYSTEM;9627425;42194579017;21745915253;5987746908
1683819844.668569;/sys/fs/cgroup/anon.slice/anon_service.service;3402;164608;0;545326
1683819844.668569;/sys/fs/cgroup/test.slice/test;9482190;42167176474;0;5782170442
1683819845.668209;#SYSTEM;9512460;41367973315;21284790514;5990265700
1683819845.668209;/sys/fs/cgroup/anon.slice/anon_service.service;3849;162014;0;875987
1683819845.668209;/sys/fs/cgroup/test.slice/test;9397834;41355761216;0;5661741918
1683819846.666872;#SYSTEM;7891052;36599027040;18928176395;5983004487
1683819846.666872;/sys/fs/cgroup/anon.slice/anon_service.service;3885;151612;0;657136
1683819846.666872;/sys/fs/cgroup/test.slice/test;7781421;36580124500;0;5072052604
1683819847.666039;#SYSTEM;7902766;44186813264;22192701024;5991168593
1683819847.666039;/sys/fs/cgroup/anon.slice/anon_service.service;4060;165907;0;557467
1683819847.666039;/sys/fs/cgroup/test.slice/test;7825265;44177794540;0;5887668159
1683819848.665165;#SYSTEM;9009691;43858161585;22349975966;5991400894
1683819848.665165;/sys/fs/cgroup/anon.slice/anon_service.service;3960;166806;0;554316
1683819848.665165;/sys/fs/cgroup/test.slice/test;8899386;43844532883;0;5926726201
1683819849.664312;#SYSTEM;8692749;43463171751;22096131964;5990627748
1683819849.664312;/sys/fs/cgroup/anon.slice/anon_service.service;4424;162859;0;542349
1683819849.664312;/sys/fs/cgroup/test.slice/test;8581876;43443392952;0;5862027691
1683819850.663456;#SYSTEM;8324963;44145263534;22343164217;5991655174
1683819850.663456;/sys/fs/cgroup/anon.slice/anon_service.service;3538;163042;0;552432
1683819850.663456;/sys/fs/cgroup/test.slice/test;8244649;44134843642;0;5927442735
1683819851.662581;#SYSTEM;8200851;43510059419;22006824918;5989618206
1683819851.662581;/sys/fs/cgroup/anon.slice/anon_service.service;3635;165088;0;543707
1683819851.662581;/sys/fs/cgroup/test.slice/test;8125429;43497647938;0;5851622663
1683819852.661729;#SYSTEM;8512169;44130117096;22331821604;5991541460
1683819852.661729;/sys/fs/cgroup/anon.slice/anon_service.service;3739;165546;0;553983
1683819852.661729;/sys/fs/cgroup/test.slice/test;8423144;44120223187;0;5924018136
1683819853.660862;#SYSTEM;8702900;43816002015;22222019311;5991071757
1683819853.660862;/sys/fs/cgroup/anon.slice/anon_service.service;3923;166131;0;544362
1683819853.660862;/sys/fs/cgroup/test.slice/test;8601317;43804106883;0;5895546650
1683819854.660002;#SYSTEM;7793499;36352411199;18648157579;5981120453
1683819854.660002;/sys/fs/cgroup/anon.slice/anon_service.service;3749;191706;0;632074
1683819854.660002;/sys/fs/cgroup/test.slice/test;7658691;36325347238;0;5012768017
1683819855.659887;#SYSTEM;8397587;37449377455;19170009892;5984360710
1683819855.659887;/sys/fs/cgroup/anon.slice/anon_service.service;3953;171782;0;1123593
1683819855.659887;/sys/fs/cgroup/test.slice/test;8272708;37432534712;0;5146601942
1683819856.658448;#SYSTEM;7030268;31367714023;16376537259;5982527834
1683819856.658448;/sys/fs/cgroup/anon.slice/anon_service.service;3732;154924;0;623739
